Report generated on: 02-28-2022 14:46:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","total energy consumption (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-AFRC-QBTU.A","    Africa","6.64092833010905","6.820237997359492","7.395431954743415","7.807165726301937","8.198115360525744","8.415656049283182","8.570867296083245","8.87987826951261","9.203758457420795","9.407852267137523","9.703891354866803","9.888625840684213","9.962950862445988","10.05005083731097","10.27484573939515","10.734528085843536","11.090577172402282","11.351024672673178","11.545208974719428","11.595636413338726","12.082335488409166","12.53283619997815","12.919029630690028","13.440903815221008","13.875590480871764","14.644832153315217","14.924171938558853","15.45086420552158","16.135301336850546","16.130314022718935","16.908662476984848","17.34781005040182","18.104642480786026","18.68855828270304","19.311811756571547","19.277563591685162","19.399889600008127","19.937642321568404","20.125813260940262","20.57012475869538"
"INTL.44-2-DZA-QBTU.A","        Algeria","0.7806951671133022","0.6633913232329025","0.952188115918025","1.0705618432163024","1.1307867129706235","1.0464182466677772","1.0663009617019872","1.1383186539191739","1.2131193653810644","1.1752824500023602","1.2176747131103456","1.3540221852730518","1.3018175531658567","1.197190189761347","1.2331532738213695","1.2893408555746482","1.2636678937141161","1.2037328796133115","1.2507993484799216","1.2460964247642696","1.2741409095164264","1.2755788416753817","1.3074545634065444","1.3231213793565968","1.2954098986632896","1.4904662092077268","1.5596889350215406","1.5497462359855616","1.6774201141608194","1.7841253819873597","1.7777604019160995","1.9379902738228294","2.0982041249829453","2.037585597537122","2.299898896758712","2.351782231770593","2.3361518937806958","2.361200900056517","2.5157731727516484","2.643502654452609"
"INTL.44-2-AGO-QBTU.A","        Angola","0.05836614796628778","0.05786368803134464","0.06200789925058719","0.06629700722242975","0.059894700907251144","0.07376669580030859","0.072853256","0.0751354785","0.0774952488","0.0749834485","0.0796086341707318","0.083441112","0.08466824245","0.0831231608","0.0811018555","0.0869945193","0.0836117204","0.09391645935","0.0845276794","0.0943487828","0.1107173657809459","0.12022322564226803","0.12811341259766792","0.14217062870431416","0.15722099348672391","0.1338573038047019","0.16877540479424796","0.19399633769398011","0.22737446558912797","0.25872445499614005","0.2838176477364","0.297535913056","0.31073998491839994","0.34776127766959997","0.382763725955","0.399218709765","0.364251516864","0.347458949401","0.33775099438","0.372427780585"
"INTL.44-2-BEN-QBTU.A","        Benin","0.006526525490589228","0.00657461217504117","0.004640112118680565","0.00673156417504117","0.006673241490589228","0.00769881420458931","0.0075010549425","0.0059423653011","0.007368094868","0.00759261096","0.0087241065","0.0101965498","0.0113292124","0.012457708","0.013034078","0.0140675475","0.0153565462","0.016612231861","0.0179082209","0.0087915402","0.023423691849999997","0.026659533109999984","0.030545252469999992","0.035464364590000005","0.03739318667000002","0.03510334009","0.047978104170000035","0.056636093414664586","0.057919428084048395","0.06430241513376145","0.0737448360706044","0.06874788779176708","0.06524808965581463","0.06648064963684044","0.07028466073952724","0.07773266021322263","0.09478593078271115","0.10051731128246924","0.111507241644721","0.09997977143553552"
"INTL.44-2-BWA-QBTU.A","        Botswana","0.01474876174891715","0.015462338455905018","0.014427219244727608","0.014460824190274883","0.014444631114919134","0.018865991183334353","0.020060805603600556","0.021144245574496436","0.02447270767259072","0.027647587990445654","0.03054341443277497","0.03196978834725995","0.03877994684951345","0.037628784856808435","0.03745734130642059","0.03790885913136209","0.035916687128327386","0.03701753786376586","0.03968522768113216","0.037546041758715655","0.048960788089428234","0.05146922874056274","0.05401040664938706","0.055207364586840606","0.05437303728605303","0.05779191760179744","0.06173644356782219","0.06339168675425574","0.06594236187132312","0.061664890670659354","0.06352888161559554","0.06663629787748791","0.06585719497507675","0.06537573422549779","0.06566165363910713","0.08000827367238175","0.08808701314420676","0.08097241988327027","0.07907479412609018","0.07854526409711277"
"INTL.44-2-BFA-QBTU.A","        Burkina Faso","0.00603630006292833","0.006019807439805575","0.006019807439805575","0.006019807439805575","0.00603630006292833","0.0058191471917306","0.006886218261","0.0071914125","0.0075416928978","0.0067590171115","0.006957065517","0.008048754631","0.0081401753702","0.009032330761","0.010072718261","0.010299294261","0.0109548687702","0.017292804261","0.015534340261","0.0159967735","0.01453270104299999","0.016148960490000006","0.016919023612999996","0.01872252673500001","0.01686408579800001","0.017908511230999995","0.017658160755999994","0.025015979186839996","0.027319447380510013","0.025666214979729998","0.028015677873310007","0.03191321386122001","0.03762827609100998","0.04512500609866008","0.042116061427","0.0535078304","0.0513903632","0.0595184932","0.0655800079","0.0660440724"
"INTL.44-2-BDI-QBTU.A","        Burundi","0.001594158729949184","0.001802374507487415","0.00158353144649976","0.002006368920847415","0.00258417246463745","0.002675836627302375","0.0028033125435","0.0032345156665","0.00464376422296","0.0051554667737","0.0054283295115","0.0061209820115","0.0056552771392","0.0063381255115","0.0066406860115","0.0064107855115","0.0066782721392","0.0066797890115","0.0067578425115","0.0066587723","0.005638039259999998","0.004800880500000003","0.004541802177469999","0.003680759016140001","0.004243429680697999","0.0036806003152599995","0.0042648504680000004","0.0066740355579999995","0.0043902015603","0.0044337412332","0.0062181835242","0.007311775800499998","0.006884842234199999","0.007510969913100001","0.007023360823","0.007091907740000001","0.00775435822","0.009398102548038205","0.011403178152","0.012540838052"
"INTL.44-2-CPV-QBTU.A","        Cabo Verde","0.00409434146346366","0.00408315473815365","0.001749923459120325","0.001749923459120325","0.00214465505252682","0.00213879533926855","0.0006565907255","0.0006971736155","0.0009628168752","0.0011732564015","0.0011732564015","0.0011732564015","0.0013892068752","0.0014064869015","0.0016730164705","0.001639017728","0.0018488333216","0.0018436724705","0.0018537574705","0.0018540114","0.004661980559999998","0.005189605858799993","0.0056398458180000055","0.005605692768000002","0.006129894893000005","0.009560642223000012","0.010158815232999984","0.011321930725999995","0.011474206290899996","0.010868374958999996","0.0116360979897","0.013847206422199986","0.012423846472316704","0.012227006096800004","0.013187140562399998","0.013029163036","0.0136081856","0.01443723521458731","0.014609594389139292","0.0145917944"
"INTL.44-2-CMR-QBTU.A","        Cameroon","0.04708270362477058","0.051679449011914104","0.060350903394515404","0.060221778459475406","0.0612440827774915","0.06518658289747195","0.0698285897355","0.066281415","0.0663602804","0.0770231755","0.077714532","0.078423858","0.0787691378","0.069690294","0.0743983805","0.076187344","0.0758687726","0.0796913245","0.0796969845","0.0781065555","0.08113376988380401","0.08087367897966201","0.07968507088899004","0.085360268649014","0.088982210407638","0.08587732565273799","0.10368875964484997","0.10334674585361593","0.104903174081974","0.1124771403419399","0.12850699014936195","0.13534186404288007","0.13505515385307543","0.11877355077707197","0.14840589168971793","0.1486073561308","0.144817027676","0.15813443890693699","0.16116123308691993","0.16053274132133993"
