DIRECTION - Inward,,,,,,,,,,,,,,,,,,,,,,
MEASURE - US dollars at current prices in millions,,,,,,,,,,,,,,,,,,,,,,
MODE - Flow,,,,,,,,,,,,,,,,,,,,,,
YEAR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
          Guinea-Bissau,0.730876613,0.702270863,0.39561333,3.545254725,3.489332416,9.180650596,7.996693638,17.32678001,18.58045724,5.142863523,17.45286815,33.22383232,25.02405344,6.624918956,19.64528744,28.8911559,18.58302195,23.99859117,15.69119794,20.56381823,71.65868036,20.41038028
          Kenya,13.8218624,110.9046111,5.302622602,27.6252336,81.7351983,46.063947,21.2129384,50.6748047,897.3969902,642.7404382,1855.194702,1882.068164,2233.93854,2175.051812,1978.360935,1513.900102,1463.737592,1138.612882,1403.567589,1139.438224,1098.375947,716.7562236
          Lesotho,32.73601027,32.4007,29.68,28.4012999,43.9365999,56.68,27.3999999,24.3,75.5999999,11,91.2999999,9.5,61.2,56.7,50.3999999,94.5,206.5,159.1999999,123.0999999,128.6999999,117.5999999,102.0081641
          Liberia,256.2599999,20.8,8.3,2.7999999,372.22,75.3575,82.8081999,107.851,131.5999999,283.8009999,217.8034591,449.9588262,785.2999999,984.6,1061.27,276.6999999,626.96,453.18,247.84,129.13,86.68,86.96
          Madagascar,58.381,82.9526,93.0592,61.10993201,95.45113177,95.19172116,86.01968018,294.5127636,740.5260742,1392.70123,1269.409215,764.685758,788.0782373,777.6365964,551.3164112,313.6822674,435.8242269,450.6262707,357.8622064,352.5516226,474.3114254,359.141033
          Malawi,58.49986731,39.6317699,39.370078,38.7190554,13.2620926,58.9487571,99.140819,121.6227215,34.5571841,123.9260419,194.5330017,46.0891676,93.2735529,80.9328928,88.5212935,387.1045543,509.6792059,116.0991915,90.19969121,959.3956336,822.4882308,98.01828564
          Mali,2.178012308,82.43957661,121.7315859,243.8047714,132.2608396,101.0022999,223.8031501,83.39230048,72.7944966,180.2815958,748.3470497,405.9021517,556.1472961,397.8664596,307.9409132,144.2148312,275.5255351,356.4765889,563.2084704,467.2953914,720.6388353,308.1019148
          Mauritania,15.11946,40.096,76.7,67.34035232,101.9579516,404.1020257,811.8691814,154.6016381,139.3728223,342.770662,-3.072044396,130.5283913,588.7495642,1388.587418,1125.683738,501.0379057,502.0739412,271.1978405,587.2437659,772.8904772,886.9163586,977.7004865
          Mauritius,49.35320697,276.7661222,-25.64428256,32.10733596,62.07551565,11.16424532,41.56467613,105.3043229,339.0528746,382.9148625,247.8426023,429.9417887,433.3310109,589.0183028,293.3691571,455.5621518,216.4551883,378.7644323,479.9958903,460.5113682,471.4221034,245.9410422
          Mozambique,381.6999999,139.3,255.4354914,347.2528305,336.6984008,475.5135728,107.8533189,112.6006603,398.655636,591.5992294,898.2848824,2531.661754,3558.543611,5629.409703,6175.124643,4901.790089,3866.831987,3093.4,2293.1,2703.031294,2211.654426,2337.297117
          Namibia,19.60625127,186.4055748,365.1721767,181.3634768,148.7488681,225.8472156,385.2410553,386.575747,732.9598488,720.2665333,841.1825101,283.7998312,817.0653879,1060.806921,769.8646098,441.1737767,887.995532,355.5902318,279.9460362,208.556758,-178.9256711,-74.61140034
          Niger,0.276108943,8.437082149,22.89509835,2.404632504,11.47109429,20.32236388,30.29378085,50.54409149,129.0387195,340.4271949,790.7625385,940.3162271,1065.789864,841.2757797,719.3384761,822.9670231,529.478696,301.3324781,338.7107099,466.0422733,717.1476396,366.7937087
